OBJECTID,Name,Snippet,SWTORD,COMVAL_SQM,RESVAL_SQM,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,R_AVGYR,LUDIVERS,WE_CT,RCODEV,AUTOV,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,id,Neighborhoods__LENGTH,Neighborhoods__AREA,Shape_Length,Shape_Area
99,Parkwood,http://durhamhoods.com/neighborhoods/parkwood/,24.5,1906,168972,6,61,3,1970,3.7,10,3,2,2.1,0,0,9.2,26,0,99,0.094363786,-0.000271259,0.094363786,-0.000271259
100,Penrith,http://durhamhoods.com/neighborhoods/penrith/,13.4,0,72235,9,59,2,1983,5.8,16,0,2,0,0,2.8,16.3,0,0,100,0.08039423,-0.000237329,0.08039423,-0.000237329
101,Placid Valley,http://durhamhoods.com/neighborhoods/placid-valley/,0,0,1120491,0,0,0,1978,8.1,0,0,0,0,0,0,0,0,0,101,0.025501838,-3.75e-05,0.025501838,-3.75e-05
102,Pleasant Drive,http://durhamhoods.com/neighborhoods/pleasant-drive/,0,0,72147,21,109,7,1957,23.1,13,2,1,0,0,0,83.3,27,11,102,0.065856601,-0.000109408,0.065856601,-0.000109408
103,Providence Ridge,http://durhamhoods.com/neighborhoods/providence-ridge/,20.3,0,869708,0,0,0,2004,0,0,0,0,0,0,0,0,0,0,103,0.01064444,-7.14e-06,0.01064444,-7.14e-06
104,Ravenstone,http://durhamhoods.com/neighborhoods/ravenstone/,63,0,11127703,15,71,0,2006,10,2,1,0,22.8,10,19.5,0,0,0,104,0.038722765,-8.73e-05,0.038722765,-8.73e-05
105,Rockwood,http://durhamhoods.com/neighborhoods/rockwood/,5.8,0,516532,23,180,23,1967,21.2,7,3,3,0,0,17.6,67.2,106,22,105,0.043841818,-7.91e-05,0.043841818,-7.91e-05
106,Scarsdale Village,http://durhamhoods.com/neighborhoods/scarsdale-village/,23.9,0,77872,52,179,22,1969,18.1,12,9,10,0,0,0,73.7,80,23,106,0.059887431,-0.000185324,0.059887431,-0.000185324
107,Sheridan Drive,http://durhamhoods.com/neighborhoods/sheridan-drive/,19.7,0,3871711,0,61,0,1967,5.4,0,0,0,0,0,0,0,0,0,107,0.018162586,-1.27e-05,0.018162586,-1.27e-05
108,Southampton,http://durhamhoods.com/neighborhoods/southampton/,77.6,0,4467286,0,21,0,2009,0,0,0,0,0,0,0,0,0,0,108,0.016203261,-1.21e-05,0.016203261,-1.21e-05
109,Southpoint Manor,http://durhamhoods.com/neighborhoods/southpoint-manor/,43.6,0,3318650,0,44,0,2005,1.7,0,0,0,0,0,0,0,0,0,109,0.025767702,-2.93e-05,0.025767702,-2.93e-05
